,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum,raw_label,Label
0,57.977,6.445,8.282428571428571,7.0,4.507704891378217,20.319403387755106,9.429635540601314,19.324,6.435,robotMed,robotMed
0,38.967,6.45,7.7934,5.0,2.5494745811637345,6.49982064,8.199811229534495,12.887,6.44,robotMed,robotMed
0,58.563,3.444,3.4448823529411765,17.0,0.003462103286955887,1.1986159169550756e-05,3.444884092645891,3.454,3.441,robotHigh,robotHigh
0,10.327,5.1635,5.1635,2.0,1.7195,2.9566802500000002,5.44228008283293,6.883,3.444,robotHigh,robotHigh
0,54.472,6.8149999999999995,9.078666666666667,6.0,5.072898930153799,25.73430355555556,10.399831344786318,20.422,6.797,robotMed,robotMed
0,27.233,6.808,6.80825,4.0,0.0025860201081973054,6.687500000000803e-06,6.808250491132065,6.812,6.805,robotMed,robotMed
0,55.333,7.903,7.904714285714285,7.0,0.018918730595548428,0.00035791836734694023,7.90473692523305,7.945,7.884,robotHigh,robotHigh
0,56.381,15.938,18.793666666666667,3.0,10.074653222595584,101.49863755555559,21.323708503291197,32.31,8.133,robotHigh,robotHigh
0,24.075,12.0375,12.0375,2.0,4.115499999999999,16.937340249999995,12.721585848470307,16.153,7.922,robotHigh,robotHigh
0,51.927,3.504,6.490875,8.0,4.316640749399352,18.633387359375,7.795180923172984,13.71,3.499,robotMed,robotMed
0,30.922,8.6015,7.7305,4.0,2.7692656517567973,7.6688322499999995,8.211544464959074,10.213,3.506,robotMed,robotMed
0,54.488,6.8125,6.811,8.0,0.006633249580710856,4.400000000000075e-05,6.8110032300682395,6.819,6.795,robotHigh,robotHigh
0,34.054,6.8225,8.5135,4.0,2.9482841196194096,8.692379249999998,9.009553901276133,13.62,6.789,robotHigh,robotHigh
