,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum
0,116.41500000000002,6.851,8.955000000000002,13.0,3.159335470535634,9.981400615384615,9.495968913985799,13.698,6.844
0,123.18899999999998,6.847,8.212599999999998,15.0,2.7345475872009737,7.477750506666666,8.655896791590498,13.695,6.832
0,116.14699999999999,6.837999999999999,9.678916666666666,12.0,4.372854130091188,19.121853243055558,10.620888902692341,20.489,6.814
0,102.558,6.84,9.323454545454545,11.0,4.395976473665981,19.324609157024796,10.307832644071295,20.504,6.823
0,140.21,6.8455,10.015,14.0,4.93305150417641,24.33499714285714,11.164014606890174,24.024,6.815
0,116.24900000000001,6.843,10.56809090909091,11.0,6.754125977431001,45.61821771900828,12.54203983336914,27.37,6.813
0,116.234,6.837,7.748933333333333,15.0,2.3205606353254855,5.385001662222222,8.088941183286392,13.685,6.803
0,123.065,6.853,11.187727272727273,11.0,6.0323788476838445,36.38959456198347,12.710422341169828,27.384,6.828
0,123.10499999999999,6.846,8.206999999999999,15.0,2.7328485261109274,7.468461066666667,8.650046824536076,13.682,6.822
0,109.46600000000001,6.846,9.122166666666667,12.0,5.813516045007148,33.79696880555555,10.817157366887107,27.37,6.826
